POSLOG: Task 2.2 started with visuals: True
POSLOG: X: -358.52, Y:-4.917552, Z: 56.82005
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
POSLOG: X: -369.448, Y:-4.917552, Z: 47.57524
